,out
0,1.0
1,6.0
2,12.0
3,8.0
4,6.0
5,24.0
6,24.0
7,0.0
8,12.0
9,30.0
10,24.0
11,24.0
12,8.0
13,24.0
14,48.0
15,0.0
16,6.0
17,48.0
18,36.0
19,24.0
20,24.0
21,48.0
22,24.0
23,0.0
24,24.0
25,30.0
26,72.0
27,32.0
28,0.0
29,72.0
30,48.0
31,0.0
32,12.0
33,48.0
34,48.0
35,48.0
36,30.0
37,24.0
38,72.0
39,0.0
40,24.0
41,96.0
42,48.0
43,24.0
44,24.0
45,72.0
46,48.0
47,0.0
48,8.0
49,54.0
50,84.0
51,48.0
52,24.0
53,72.0
54,96.0
55,0.0
56,48.0
57,48.0
58,24.0
59,72.0
60,0.0
61,72.0
62,96.0
63,0.0
64,6.0
65,96.0
66,96.0
67,24.0
68,48.0
69,96.0
70,48.0
71,0.0
72,36.0
73,48.0
74,120.0
75,56.0
76,24.0
77,96.0
78,48.0
79,0.0
80,24.0
81,102.0
82,48.0
83,72.0
84,48.0
85,48.0
86,120.0
87,0.0
88,24.0
89,144.0
90,120.0
91,48.0
92,0.0
93,48.0
94,96.0
95,0.0
96,24.0
97,48.0
98,108.0
99,72.0
